fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
人保中高等级信用债A,007264,-0.71%,-0.84%,0.9929,0.02%,-0.59%,-0.27%,债券型,中低风险,2019-08-14,2.72亿元（2019-12-31）,人保资产,张玮,0.08%,100元起购,2067 | 2105
华夏短债债券A,004672,9.53%,1.76%,1.0953,0.02%,0.51%,0.80%,债券型,中低风险,2017-12-06,9.02亿元（2019-12-31）,华夏基金,刘明宇,0.03%,100元起购,1748 | 2105
大成绝对收益策略混合A,001791,0.10%,5.59%,1.001,-0.30%,0.60%,2.67%,混合型,中低风险,2015-09-23,0.22亿元（2019-12-31）,大成基金,黎新平,0.15%,100元起购,1659 | 3302
景顺长城顺益回报混合C,002793,21.00%,5.47%,1.21,-0.30%,2.29%,2.44%,混合型,中高风险,2016-12-07,0.14亿元（2019-12-31）,景顺长城基金,万梦,0.00%,100元起购,1718 | 3302
信诚稳瑞债券A,003277,13.65%,1.89%,1.0094,0.02%,0.55%,0.84%,债券型,中低风险,2016-09-09,20.36亿元（2019-12-31）,中信保诚基金,宋海娟,0.08%,10元起购,1715 | 2105
泰达宏利溢利债券C,003794,15.08%,1.54%,1.0106,0.06%,0.50%,0.59%,债券型,中低风险,2017-01-22,0.00亿元（2019-12-31）,泰达宏利基金,杜磊,0.00%,100元起购,1905 | 2105
中信建投景和中短债A,000503,29.58%,1.91%,1.1129,0.02%,0.70%,1.00%,债券型,中低风险,2014-01-27,15.79亿元（2019-12-31）,中信建投基金,黄海浩,0.03%,100元起购,1506 | 2105
泰达宏利泰和平衡养老(FOF),006306,11.21%,6.05%,1.1121,-0.82%,1.79%,1.92%,混合-FOF,中高风险,2018-10-25,2.84亿元（2019-12-31）,泰达宏利基金,王建钦,0.12%,100元起购,2321 | 3296
信诚稳瑞债券C,003278,14.02%,1.86%,1.013,0.02%,0.54%,0.83%,债券型,中低风险,2016-09-09,0.00亿元（2019-12-31）,中信保诚基金,宋海娟,0.00%,10元起购,1718 | 2105
博时裕昂纯债债券,002970,14.92%,2.20%,1.013,0.00%,0.60%,0.80%,债券型,中低风险,2016-07-15,5.41亿元（2019-12-31）,博时基金,陈凯杨,0.08%,100元起购,1752 | 2105
兴业短债债券C,002769,9.08%,1.65%,1.019,0.00%,0.59%,0.88%,债券型,中低风险,2016-05-16,0.01亿元（2019-12-31）,兴业基金,丁进,0.00%,100元起购,1666 | 2105
景顺长城顺益回报混合A,002792,22.69%,5.69%,1.2269,-0.31%,2.33%,2.50%,混合型,中高风险,2016-12-07,3.85亿元（2019-12-31）,景顺长城基金,万梦,0.12%,100元起购,1700 | 3302
融通增鑫债券,002635,13.08%,1.89%,1.023,0.00%,0.59%,0.89%,债券型,中低风险,2016-05-05,15.72亿元（2019-12-31）,融通基金,许富强,0.08%,100元起购,1659 | 2105
民生加银1-3年农发行债,007259,3.05%,2.14%,1.0234,0.04%,0.61%,0.82%,债券指数,中低风险,2019-05-27,243.70亿元（2019-12-31）,民生加银基金,陆欣,0.04%,100元起购,-- | 1608
华安添鑫中短债A,040045,30.66%,1.25%,1.0264,0.08%,0.47%,0.60%,债券型,中低风险,2012-12-24,0.06亿元（2019-12-31）,华安基金,马晓璇,0.045%,100元起购,1899 | 2105
博时裕诚纯债债券,002140,14.73%,2.18%,1.028,0.00%,0.78%,1.18%,债券型,中低风险,2016-10-31,10.05亿元（2019-12-31）,博时基金,陈凯杨,0.08%,100元起购,1269 | 2105
华商瑞丰短债A,003403,4.74%,2.03%,1.0283,0.01%,0.56%,0.83%,债券型,中低风险,2017-03-01,3.26亿元（2019-12-31）,华商基金,胡中原,0.03%,100元起购,1717 | 2105
光大恒利纯债,002523,13.17%,2.28%,1.03,0.00%,0.78%,0.98%,债券型,中低风险,2016-09-02,117.11亿元（2019-12-31）,光大保德信基金,魏丽,0.08%,100元起购,1525 | 2105
财通安瑞短债债券A,006965,3.73%,2.03%,1.0301,0.01%,0.50%,0.75%,债券型,中低风险,2019-03-20,2.60亿元（2019-12-31）,财通基金,林洪钧,0.03%,100元起购,1786 | 2105
融通通安债券,002807,17.75%,2.98%,1.032,0.00%,1.08%,1.57%,债券型,中低风险,2016-07-21,10.14亿元（2019-12-31）,融通基金,许富强,0.08%,100元起购,772 | 2105
博时裕泉纯债债券,002578,12.63%,2.16%,1.037,0.00%,0.58%,0.87%,债券型,中低风险,2016-09-07,48.91亿元（2019-12-31）,博时基金,陈凯杨,0.08%,100元起购,1682 | 2105
兴业裕华债券,003672,16.54%,2.25%,1.0384,0.02%,0.61%,0.96%,债券型,中低风险,2016-12-07,5.95亿元（2019-12-31）,兴业基金,莫华寅,0.08%,100元起购,1550 | 2105
富国短债债券型A,006804,3.79%,1.82%,1.0379,0.01%,0.51%,0.80%,债券型,中低风险,2019-01-18,6.42亿元（2019-12-31）,富国基金,张波,0.04%,100元起购,1751 | 2105
中银国有企业债A,001235,20.75%,3.49%,1.041,-0.10%,1.36%,1.86%,债券型,中低风险,2015-09-29,17.93亿元（2019-12-31）,中银基金,方抗,0.08%,100元起购,514 | 2105
鹏扬利泽债券A,004614,11.47%,1.74%,1.0429,0.02%,0.44%,0.63%,债券型,中低风险,2017-06-15,84.93亿元（2019-12-31）,鹏扬基金,陈钟闻,0.04%,1000元起购,1882 | 2105
长信稳健纯债债券A,002996,13.83%,2.06%,1.0439,0.02%,0.71%,0.91%,债券型,中低风险,2016-12-13,3.39亿元（2019-12-31）,长信基金,陆莹,0.06%,100元起购,1630 | 2105
广发集富纯债C,003040,11.92%,2.04%,1.044,0.10%,0.68%,0.87%,债券型,中低风险,2017-01-13,0.30亿元（2019-12-31）,广发基金,谢军,0.00%,100元起购,1683 | 2105
汇添富短债债券C,006647,4.39%,1.76%,1.0439,0.01%,0.48%,0.72%,债券型,中低风险,2018-12-13,9.38亿元（2019-12-31）,汇添富基金,蒋文玲,0.00%,100元起购,1806 | 2105
融通债券C,161693,57.30%,2.76%,1.047,-0.10%,1.06%,1.45%,债券型,中低风险,2012-02-20,1.00亿元（2019-12-31）,融通基金,王超,0.00%,100元起购,936 | 2105
鹏华丰腾债券,003527,11.16%,1.66%,1.0493,0.01%,0.51%,0.75%,债券型,中低风险,2016-10-27,20.82亿元（2019-12-31）,鹏华基金,张丽娟,0.08%,100元起购,1790 | 2105
新华鑫日享中短债A,004981,5.13%,2.20%,1.0513,0.03%,0.64%,0.89%,债券型,中低风险,2018-12-19,1.30亿元（2019-12-31）,新华基金,姚秋,0.04%,100元起购,1651 | 2105
汇安短债债券C,006520,5.16%,2.13%,1.0516,0.02%,0.50%,0.81%,债券型,中低风险,2018-11-07,7.91亿元（2019-12-31）,汇安基金,杨芳,0.00%,100元起购,1737 | 2105
