fname,fnum,cumulative_nv,cnv_change_6m,unit_nv,unit_nv_change,pnv_change_1m,npv_thisy,class,risk,founded_date,scale,management,manager,fee,mmin_amount,rank_1y
创金合信尊隆纯债,004322,12.73%,2.09%,1.0911,0.01%,0.59%,0.80%,债券型,中低风险,2017-02-10,2.10亿元（2019-12-31）,创金合信基金,郑振源,0.08%,100元起购,1745 | 2105
景顺长城景兴信用纯债债券A,000252,37.64%,1.72%,1.239,0.00%,0.65%,0.90%,债券型,中低风险,2013-08-26,21.38亿元（2019-12-31）,景顺长城基金,何江波,0.08%,100元起购,1648 | 2105
前海开源量化优选C,002496,26.40%,15.96%,1.264,0.00%,4.98%,4.55%,混合型,中高风险,2017-07-03,0.58亿元（2019-12-31）,前海开源基金,黄玥,0.15%,100元起购,1291 | 3302
易方达安悦超短债F,006664,4.51%,1.68%,1.0147,0.00%,0.45%,0.67%,债券型,中低风险,2018-12-05,0.08亿元（2019-12-31）,易方达基金,刘朝阳,0.00%,5000000元起购,1850 | 2105
易方达安悦超短债A,006662,4.61%,1.78%,1.0157,0.00%,0.45%,0.68%,债券型,中低风险,2018-12-05,22.29亿元（2019-12-31）,易方达基金,刘朝阳,0.03%,100元起购,1840 | 2105
中银稳汇短债债券C,006678,4.30%,1.77%,1.0161,0.01%,0.44%,0.67%,债券型,中低风险,2018-12-19,1.56亿元（2019-12-31）,中银基金,白洁,0.00%,100元起购,1849 | 2105
中银稳汇短债债券A,006677,4.42%,1.83%,1.0173,0.02%,0.45%,0.69%,债券型,中低风险,2018-12-19,5.80亿元（2019-12-31）,中银基金,白洁,0.03%,100元起购,1834 | 2105
浙商汇金短债A,006516,5.64%,2.14%,1.0167,0.01%,0.46%,0.70%,债券型,中低风险,2018-11-22,2.39亿元（2019-12-31）,浙商证券资管,应洁茜,0.03%,100元起购,1828 | 2105
中科沃土沃安中短利率C,007034,2.40%,1.77%,1.0183,0.05%,0.52%,0.90%,债券型,中低风险,2019-03-18,0.24亿元（2019-12-31）,中科沃土基金,马洪娟,0.00%,100元起购,1638 | 2105
中信保诚至泰中短债债券C,004156,14.64%,1.90%,1.1464,0.00%,0.58%,0.85%,债券型,中低风险,2017-06-06,1.09亿元（2019-12-31）,中信保诚基金,席行懿,0.00%,100元起购,1697 | 2105
安信尊享添益债券A,005678,14.55%,3.42%,1.1455,-0.04%,1.11%,1.61%,债券型,中低风险,2018-03-14,69.50亿元（2019-12-31）,安信基金,肖芳芳,0.06%,100元起购,735 | 2105
宝盈安泰短债债券C,006388,5.19%,1.98%,1.0195,0.01%,0.51%,0.80%,债券型,中低风险,2018-12-07,5.26亿元（2019-12-31）,宝盈基金,高宇,0.00%,100元起购,1747 | 2105
中泰青月中短债C,007583,2.01%,1.96%,1.0202,0.00%,0.58%,0.93%,债券型,中低风险,2019-08-09,0.80亿元（2019-12-31）,中泰证券(上海)资管,张蓓蓓(Zhang Phoebe),0.00%,100元起购,1595 | 2105
财通鸿益中短债债券A,006360,6.74%,2.11%,1.021,0.01%,0.55%,0.83%,债券型,中低风险,2018-09-03,23.06亿元（2019-12-31）,财通资管,顾宇笛,0.04%,100元起购,1723 | 2105
宝盈安泰短债债券A,006387,5.56%,2.14%,1.0232,0.01%,0.54%,0.84%,债券型,中低风险,2018-12-07,9.56亿元（2019-12-31）,宝盈基金,高宇,0.04%,100元起购,1712 | 2105
广发景明中短债C,006592,4.36%,1.51%,1.0232,0.01%,0.33%,0.52%,债券型,中低风险,2018-11-29,2.94亿元（2019-12-31）,广发基金,刘志辉,0.00%,100元起购,1927 | 2105
易方达安源中短债债券C,110052,2.54%,1.48%,1.0254,0.01%,0.48%,0.68%,债券型,中低风险,2013-01-15,0.78亿元（2019-12-31）,易方达基金,李一硕,0.00%,100元起购,1847 | 2105
广发景明中短债A,006591,4.85%,1.71%,1.0259,0.01%,0.37%,0.58%,债券型,中低风险,2018-11-29,5.34亿元（2019-12-31）,广发基金,刘志辉,0.04%,100元起购,1909 | 2105
交银稳鑫短债债券C,006794,3.69%,1.93%,1.0269,0.01%,0.56%,0.84%,债券型,中低风险,2019-01-24,0.14亿元（2019-12-31）,交银施罗德基金,黄莹洁,0.00%,100元起购,1708 | 2105
前海开源量化优选A,002495,28.70%,17.11%,1.287,0.00%,4.98%,4.55%,混合型,中高风险,2017-07-03,0.01亿元（2019-12-31）,前海开源基金,黄玥,0.15%,100元起购,1292 | 3302
光大保德信超短债A,005992,6.34%,1.65%,1.0286,0.01%,0.44%,0.65%,债券型,中低风险,2018-06-13,25.16亿元（2019-12-31）,光大保德信基金,沈荣,0.04%,100元起购,1867 | 2105
泰达宏利纯利债券C,003768,11.72%,1.68%,1.0325,0.04%,0.60%,0.70%,债券型,中低风险,2016-11-25,0.00亿元（2019-12-31）,泰达宏利基金,杜磊,0.00%,100元起购,1829 | 2105
广发景兴中短债A,006998,3.78%,2.08%,1.0333,0.00%,0.47%,0.81%,债券型,中低风险,2019-03-21,2.24亿元（2019-12-31）,广发基金,高翔,0.04%,100元起购,1741 | 2105
富国短债债券型C,006805,3.32%,1.61%,1.0332,0.01%,0.47%,0.72%,债券型,中低风险,2019-01-18,1.73亿元（2019-12-31）,富国基金,张波,0.00%,100元起购,1807 | 2105
泰达宏利纯利债券A,003767,12.49%,1.83%,1.0342,0.03%,0.63%,0.74%,债券型,中低风险,2016-11-25,0.50亿元（2019-12-31）,泰达宏利基金,杜磊,0.08%,100元起购,1793 | 2105
财通鸿运中短债债券C,006800,4.40%,2.46%,1.044,0.01%,0.64%,0.92%,债券型,中低风险,2019-01-21,1.08亿元（2019-12-31）,财通资管,宫志芳,0.00%,100元起购,1615 | 2105
长信全球债券人民币,004998,17.74%,3.59%,1.1774,0.02%,1.85%,1.71%,QDII,中风险,2017-12-11,0.32亿元（2019-12-31）,长信基金,杨帆,0.08%,100元起购,60 | 270
招商双债增强债券(LOF)E,003297,6.86%,3.89%,1.309,-0.08%,1.47%,2.11%,债券型,中低风险,2019-03-06,4.04亿元（2019-12-31）,招商基金,刘万锋,0.00%,100元起购,391 | 2105
太平恒利纯债,005872,6.57%,1.72%,1.0482,0.01%,0.43%,0.68%,债券型,中低风险,2018-06-15,60.82亿元（2019-12-31）,太平基金,潘莉,0.08%,100元起购,1841 | 2105
天弘弘丰增强回报债券C,006899,5.13%,3.88%,1.0513,-0.05%,0.82%,1.55%,债券型,中风险,2019-03-20,0.04亿元（2019-12-31）,天弘基金,陈国光,0.00%,100元起购,814 | 2105
平安短债C,005755,7.92%,1.89%,1.0585,0.01%,0.49%,0.75%,债券型,中低风险,2018-05-16,0.56亿元（2019-12-31）,平安基金,段玮婧,0.00%,5000000元起购,1787 | 2105
嘉合磐石A,001571,33.94%,2.93%,1.0657,0.01%,1.37%,2.30%,混合型,中高风险,2015-07-03,1.16亿元（2019-12-31）,嘉合基金,季慧娟,0.12%,100元起购,1770 | 3302
广发安泽短债债券C,002865,14.03%,1.48%,1.0651,0.02%,0.37%,0.55%,债券型,中低风险,2016-06-17,55.30亿元（2019-12-31）,广发基金,刘志辉,0.00%,100元起购,1919 | 2105
广发安泽短债债券A,002864,14.44%,1.65%,1.0683,0.01%,0.39%,0.60%,债券型,中低风险,2016-06-17,60.48亿元（2019-12-31）,广发基金,刘志辉,0.04%,100元起购,1897 | 2105
创金合信恒利超短债债券A,006076,7.27%,1.88%,1.0727,0.01%,0.47%,0.71%,债券型,中低风险,2018-08-02,18.91亿元（2019-12-31）,创金合信基金,王一兵,0.03%,100元起购,1817 | 2105
国泰民安增利债券C,020034,52.71%,1.63%,1.0842,0.01%,0.39%,0.56%,债券型,中风险,2012-12-26,1.74亿元（2019-12-31）,国泰基金,韩哲昊,0.00%,100元起购,1912 | 2105
华安安禧混合A,002398,15.82%,3.15%,1.1154,-0.05%,0.63%,0.66%,混合型,中高风险,2016-04-13,3.96亿元（2019-12-31）,华安基金,朱才敏,0.15%,100元起购,2384 | 3302
国联安信心增益债券,253030,26.62%,1.63%,1.1401,0.02%,0.84%,1.08%,债券型,中风险,2010-06-22,0.53亿元（2019-12-31）,国联安基金,薛琳,0.08%,100元起购,1401 | 2105
安信尊享添益债券C,007099,6.16%,3.20%,1.141,-0.05%,1.06%,1.54%,债券型,中低风险,2019-03-09,7.76亿元（2019-12-31）,安信基金,钟光正,0.00%,100元起购,820 | 2105
海富通上清所短融债券A,006481,3.44%,1.64%,1.0053,0.01%,0.41%,0.60%,债券指数,中低风险,2019-01-18,4.71亿元（2019-12-31）,海富通基金,陈轶平,0.10%,100元起购,1438 | 1608
浙商汇金短债E,006515,5.30%,2.00%,1.0133,0.01%,0.44%,0.66%,债券型,中低风险,2018-11-22,3.27亿元（2019-12-31）,浙商证券资管,应洁茜,0.00%,100元起购,1862 | 2105
易方达安悦超短债C,006663,4.50%,1.71%,1.0146,0.00%,0.43%,0.65%,债券型,中低风险,2018-12-05,21.47亿元（2019-12-31）,易方达基金,刘朝阳,0.00%,100元起购,1865 | 2105
汇添富理财60天债券A,470060,2.29%,1.32%,1.0229,0.01%,0.33%,0.49%,债券型,低风险,2012-06-12,1.39亿元（2019-12-31）,汇添富基金,徐寅喆,0.00%,1000元起购,1941 | 2105
光大保德信超短债C,005993,5.63%,1.45%,1.025,0.00%,0.40%,0.58%,债券型,中低风险,2018-06-13,2.33亿元（2019-12-31）,光大保德信基金,沈荣,0.00%,100元起购,1907 | 2105
汇添富理财60天债券E,005503,2.42%,1.39%,1.0242,0.01%,0.34%,0.51%,债券型,低风险,2017-12-21,6.37亿元（2019-12-31）,汇添富基金,徐寅喆,0.00%,1000元起购,1933 | 2105
嘉合磐泰短债债券A,007014,2.42%,2.23%,1.0242,0.01%,0.75%,1.11%,债券型,中低风险,2019-07-24,0.58亿元（2019-12-31）,嘉合基金,于启明,0.04%,100元起购,1370 | 2105
汇添富理财60天债券B,471060,2.60%,1.46%,1.026,0.01%,0.36%,0.53%,债券型,低风险,2012-06-12,0.27亿元（2019-12-31）,汇添富基金,徐寅喆,0.00%,5000000元起购,1924 | 2105
南方初元中短债C,007150,2.50%,1.81%,1.025,0.00%,0.40%,0.64%,债券型,中低风险,2019-06-17,0.10亿元（2019-12-31）,南方基金,黄斌斌,0.00%,100元起购,1869 | 2105
中泰蓝月短债A,007057,2.59%,1.58%,1.026,0.00%,0.37%,0.57%,债券型,中低风险,2019-04-26,0.59亿元（2019-12-31）,中泰证券(上海)资管,张蓓蓓(Zhang Phoebe),0.03%,100元起购,1910 | 2105
中泰蓝月短债C,007058,2.63%,1.71%,1.0264,0.00%,0.34%,0.53%,债券型,中低风险,2019-04-26,0.74亿元（2019-12-31）,中泰证券(上海)资管,张蓓蓓(Zhang Phoebe),0.00%,100元起购,1925 | 2105
广发景兴中短债C,006999,3.51%,1.99%,1.0311,0.00%,0.42%,0.74%,债券型,中低风险,2019-03-21,1.80亿元（2019-12-31）,广发基金,高翔,0.00%,100元起购,1792 | 2105
金元顺安沣泉债券,005843,3.45%,2.41%,1.0345,0.01%,0.41%,0.62%,债券型,中风险,2019-06-10,2.36亿元（2019-12-31）,金元顺安基金,周博洋,0.06%,100元起购,1887 | 2105
博时聚润纯债债券,002930,11.66%,1.57%,1.0402,0.01%,0.41%,0.63%,债券型,中低风险,2016-08-30,10.33亿元（2019-12-31）,博时基金,陈黎,0.08%,100元起购,1880 | 2105
